name,image_url,comment
Balatro, https://upload.wikimedia.org/wikipedia/en/8/89/Balatro_cover.jpg, (Leroy King)
Baldurs Gate 3, https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Baldur%27s_Gate_3_cover_art.jpg/250px-Baldur%27s_Gate_3_cover_art.jpg,
Castlevania: Symphony of the Night, https://upload.wikimedia.org/wikipedia/en/c/cf/Castlevania_SOTN_PAL.jpg,
Chained Echoes, https://upload.wikimedia.org/wikipedia/en/f/f3/Chained_Echoes_cover_art.jpg,
Cuphead, https://upload.wikimedia.org/wikipedia/en/e/eb/Cuphead_%28artwork%29.png,
Curse of Monkey Island, https://upload.wikimedia.org/wikipedia/en/2/26/The_Curse_of_Monkey_Island_artwork.jpg, 
Dead Rising Remaster, https://upload.wikimedia.org/wikipedia/en/c/c8/Deadrising_boxart.jpg, 
Elden Ring, https://upload.wikimedia.org/wikipedia/en/b/b9/Elden_Ring_Box_art.jpg, 
Fear and Hunger, https://upload.wikimedia.org/wikipedia/en/6/69/Fear_%26_Hunger.jpg, 
Final Fantasy Tactics, https://upload.wikimedia.org/wikipedia/en/4/4b/Fftbox.jpg, 
Five Hearts Under One Roof, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbxZQ5d5tMKt4_N6QsC4YkepIOpTnAazd0EnPzqzG0uNxD0U8RVBSU_cPqf_RIjHLxyrXL, (Gran Finale)
Hades, https://upload.wikimedia.org/wikipedia/en/c/cc/Hades_cover_art.jpg, 
Hollow Knight, https://upload.wikimedia.org/wikipedia/en/0/04/Hollow_Knight_first_cover_art.webp, 
Jump King, https://upload.wikimedia.org/wikipedia/en/8/88/Jump_King_Art_Steam.jpg, 
Phoenix Wright Ace Attorney, https://upload.wikimedia.org/wikipedia/en/7/73/Phoenix_Wright_-_Ace_Attorney_Coverart.png, 
Red Dead Redemption, https://upload.wikimedia.org/wikipedia/en/a/a7/Red_Dead_Redemption.jpg, 
Resident Evil 2 (remake), https://upload.wikimedia.org/wikipedia/en/f/fd/Resident_Evil_2_Remake.jpg, 
Secret of Monkey Island, https://upload.wikimedia.org/wikipedia/en/a/a8/The_Secret_of_Monkey_Island_artwork.jpg, 
Snatcher, https://upload.wikimedia.org/wikipedia/en/e/e9/PC88_Snatcher_Front.jpg, 
Suikoden 2, https://upload.wikimedia.org/wikipedia/en/c/cc/Suikoden2_NA.jpg, 
The Legend of Zelda, https://upload.wikimedia.org/wikipedia/en/4/41/Legend_of_zelda_cover_%28with_cartridge%29_gold.png, 
Track and Field, https://upload.wikimedia.org/wikipedia/en/1/1e/Track%26Field_arcadeflyer.png, (4 time World Record Holder)
Umamusume: Pretty Derby, https://upload.wikimedia.org/wikipedia/en/c/c5/Uma_Musume_Pretty_Derby_key_visual.jpg,  Peter Pockets $$$$
Vampire Survivors, https://upload.wikimedia.org/wikipedia/en/e/e6/Vampire_Survivors_key_art.jpg, (including Castlevania DLC)
Winnie the Pooh Baseball, https://upload.wikimedia.org/wikipedia/en/4/4a/Winnie_the_Pooh%27s_Home_Run_Derby_%28Japanese-language_title_screen%29.png,  %$*@ it I don't know its real name but Christopher Robin is the Devil
